CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
TRUJILLO;-8.111789652;-79.02867956;1;1;1;1;1;59;56
EL CONDE;-8.12428;-78.98788;1;1;1;1;1;1;1
EL PALMO;-8.13242;-79.01334;1;1;1;1;1;2;2
NUEVA VICTORIA;-8.1272;-78.99731;1;1;1;1;1;2;2
EX FUNDO LARREA;-8.13585;-79.01117;1;0;1;1;1;1;1
LA ENCALADA (LA ENCALADA VIEJA);-8.14658;-79.02741;1;1;1;1;1;2;2
SANTA ROSA;-8.13749;-79.0055;1;1;1;1;1;0;0
EL PORVENIR;-8.073838516;-78.99309976;1;1;1;1;1;21;21
FLORENCIA DE MORA;-8.082054767;-79.02367092;1;1;1;1;1;6;6
HUANCHACO;-8.084058724;-79.11936921;1;1;1;1;1;1;1
WICHANZAO;-8.01715;-79.0472;1;0;1;1;1;0;0
EL MILAGRO;-8.022877385;-79.06694297;1;1;1;1;1;3;3
LOS HUERTOS;-8.05843;-79.08137;1;0;1;1;1;1;1
EL TABLAZO;-8.07866;-79.11507;1;1;1;1;1;1;1
NUEVO HORIZONTE;-8.0565;-79.09202;1;0;1;1;1;1;1
VALDIVIA (VALDIVIA ALTA);-8.08086;-79.08493;1;0;1;1;1;1;1
HUANCHAQUITO ALTO;-8.092972892;-79.10280588;1;1;1;1;1;1;1
SANTA MARIA;-8.0938;-79.06183;1;1;1;1;1;0;0
NUEVO PROGRESO;-8.09454;-79.05643;1;1;1;1;1;1;1
VILLA DEL MAR;-8.0982;-79.06299;1;1;1;1;1;0;0
HUANCHAQUITO BAJO;-8.10131;-79.10755;1;1;1;1;1;1;0
PAMPAS DE ALEJANDRO;-8.11025;-79.06956;1;1;1;1;1;0;0
VILLA LOS ANGELES;-8.09549;-79.09054;1;1;1;1;1;1;1
EL PROGRESO;-8.0882558;-79.05492;1;1;1;1;1;0;0
LA ESPERANZA;-8.082975206;-79.04099848;1;1;1;1;1;20;19
LAREDO;-8.088183012;-78.9596496;1;1;1;1;1;2;2
CATUAY BAJO;-8.01615;-78.83648;1;1;1;1;1;0;0
MENOCUCHO;-8.022847343;-78.83893739;1;1;1;1;1;0;0
SANTA ROSA ALTA;-8.03021;-78.84482;1;1;1;1;1;0;0
JESUS MARIA;-8.04127;-78.83901;1;1;1;1;1;0;0
LAS COCAS;-8.050875;-78.843755;1;1;1;1;1;0;0
SANTA ROSA BAJA;-8.04077;-78.84438;1;1;1;1;1;0;0
CIUDAD DE DIOS;-8.04692;-78.85484;1;1;1;1;1;0;0
BELLO HORIZONTE;-8.058873936;-78.85910276;1;1;1;1;1;1;1
QUIRIHUAC ALTO (QUIRIHUAC NUEVO);-8.065833297;-78.86135014;1;1;1;1;1;0;0
QUIRIHUAC BAJO (QUIRIHUAC I);-8.07166;-78.85457;1;1;1;1;1;0;0
SAN CARLOS;-8.07506;-78.94653;1;0;1;1;1;1;0
SAN IDELFONSO;-8.06786;-78.95478;1;1;1;1;1;0;0
CAMPI�A LA MERCED ALTA;-8.08309;-78.9779;1;1;1;1;1;0;0
CAMPI�A LA MERCED BAJA;-8.08868;-78.96802;1;1;1;1;1;0;0
PUENTE VENENO;-8.09613;-78.95842;1;1;1;1;1;0;0
BAMBAS BAJO;-8.08758;-78.89462;1;0;1;1;1;0;0
QUIRIHUAC II;-8.0847;-78.87107;1;1;1;1;1;0;0
EL CASTILLO;-8.08073;-78.86237;1;1;1;1;1;0;0
SANTO DOMINGO;-8.10364;-78.91222;1;0;1;1;1;1;0
SAN PACHUSCO;-8.1052;-78.92547;1;0;1;1;1;0;0
SANTA VICTORIA;-8.10904;-78.93497;1;0;1;1;1;0;0
EL PAREDON;-8.12376;-78.93782;1;0;1;1;1;0;0
CONACHE;-8.12377;-78.94837;1;0;1;1;1;1;0
BARRAZA;-8.11036;-78.97168;1;1;1;1;1;1;0
NUEVO BARRAZA;-8.11032;-78.99266;1;1;1;1;1;0;0
SAN BORJA;-8.03519;-78.84505;1;1;1;1;1;0;0
LA CARBONERA;-8.08957;-78.87315;1;1;1;1;1;0;0
EL QUINTO;-8.09622;-78.89822;1;0;1;1;1;0;0
LAS LOMAS;-8.11403;-78.94779;1;0;1;1;1;0;0
CHANCHAMAYO;-8.11672;-78.95405;1;0;1;1;1;0;0
CACIQUE;-8.12456;-78.95972;1;0;1;1;1;0;0
PAMPAS DE SAN JUAN;-8.13057;-78.93959;1;0;1;1;1;0;0
ESPINO LIMON;-8.08047;-78.8735;1;1;1;1;1;0;0
MOCHE;-8.171425331;-79.00893519;1;1;1;1;1;0;0
BOCATOMA;-8.13013;-78.99472;0;1;0;0;0;0;0
CHANQUIN ALTO;-8.13301;-78.99722;1;1;1;1;1;0;0
LA COBRANZA;-8.13807;-78.99684;1;1;1;1;1;0;0
PISUN;-8.14091;-78.99304;1;1;1;1;1;0;0
VILLA SAN JUAN;-8.14051;-78.99552;1;1;1;1;1;0;0
LA GENERAL (SUN. B);-8.14579;-79.00068;1;1;1;1;1;0;0
EL TANQUE;-8.146442577;-79.0079441;1;1;1;1;1;0;0
SAN AGUSTIN DEL PUENTE;-8.14475;-79.01322;1;1;1;1;1;0;0
EL CARNERO;-8.149837808;-79.00773572;1;1;1;1;1;0;0
SUN (SUNA);-8.14744;-79.00285;1;0;1;1;1;0;0
LA CA�A;-8.14787;-78.9968;1;1;1;1;1;0;0
LA ESPERANZA;-8.149;-79.00651;1;0;1;1;1;0;0
LA BARRANCA;-8.15165;-79.02021;1;1;1;1;1;0;0
EL ROSARIO;-8.15197;-79.00748;1;1;1;1;1;0;0
SAN CARLOS;-8.15099;-79.00045;1;0;1;1;1;0;0
MUSIBAYA;-8.15429;-79.00936;1;1;1;1;1;0;0
CARRIZO GRANDE;-8.15473;-79.02391;1;1;1;1;1;0;0
CARRIZO CHICO;-8.15649;-79.02656;1;1;1;1;1;0;0
SAN AGUSTIN DE LA PORTADA;-8.15837;-79.01347;1;1;1;1;1;1;1
EL RETIRO;-8.15875;-79.00838;1;1;1;1;1;0;0
CHACARILLA;-8.15648;-78.99795;1;1;1;1;1;0;0
LA HACIENDITA;-8.15973;-79.00426;1;1;1;1;1;0;0
LA LINEA;-8.16154;-79.00782;1;1;1;1;1;0;0
HUEREQUEQUE;-8.15861;-78.99684;1;1;1;1;1;0;0
BYTIN;-8.16263;-78.99375;1;1;1;1;1;0;0
LOS PENCOS;-8.16495;-79.01619;1;1;1;1;1;0;0
LA PATERA;-8.16283;-79.02965;1;1;1;1;1;0;0
LA AMERICA;-8.16346;-79.02263;1;1;1;1;1;0;0
LOS PENQUITOS;-8.16721;-79.01776;1;1;1;1;1;0;0
LOS TALLOS;-8.1633;-79.00837;1;1;1;1;1;0;0
LA PALMERA;-8.16493;-78.99838;1;1;1;1;1;0;0
EL COCO;-8.16333;-78.99712;1;1;1;1;1;0;0
PAMPAS INDUSTRIALES;-8.16482;-78.97395;1;1;1;1;1;0;0
LAS TORRES DE SAN BORJA;-8.16946;-79.02401;1;0;1;1;1;0;0
HORCONCITO;-8.16991;-79.01537;1;1;1;1;1;0;0
HUABALITO;-8.17071;-79.00296;1;1;1;1;1;0;0
BELLAVISTA;-8.17413;-79.00245;1;1;1;1;1;0;0
CHOC CHOC;-8.17151;-78.99927;1;1;1;1;1;0;0
LA FORTUNA;-8.172;-78.99428;1;0;1;1;1;0;0
LOS MUERTOS;-8.17132;-79.02222;1;0;1;1;1;0;0
LA CRUZ;-8.17572;-79.0081;1;1;1;1;1;1;1
HUARTACO;-8.17909;-79.00493;1;1;1;1;1;0;0
EL MUELLE;-8.17895;-78.99719;1;1;1;1;1;0;0
MIRAMAR;-8.175882687;-78.9963272;1;1;1;1;1;0;0
EL PALMO;-8.18365;-79.00127;1;1;1;1;1;0;0
CHOROVAL;-8.18709;-78.99753;1;1;1;1;1;0;0
MONGONCILLO;-8.18892;-79.00606;1;1;1;1;1;0;0
EL ARENAL;-8.13928;-78.99347;1;0;1;1;1;0;0
CUSTODIA SANTISIMO NOMBRE DE JESUS;-8.164;-79.0215;1;1;1;1;1;0;0
POROTO;-8.01142;-78.76795;1;0;1;1;1;0;0
DOS DE MAYO;-8.02179;-78.814185;1;0;1;1;1;0;0
CHILE ALTO;-8.02234;-78.80477;1;0;1;1;1;0;0
CHILE BAJO;-8.0155365;-78.79756;1;0;1;1;1;0;0
EL ARQUITO;-8.00008;-78.7713;1;0;1;1;1;0;0
SAN ANTONIO;-8.00305;-78.75719;1;0;1;1;1;1;0
PACHILLAR;-8.003;-78.76;1;0;1;1;1;0;0
SHIRAN;-8.008171282;-78.7541773;1;0;1;1;1;0;0
LA TRANCA;-8.009125;-78.75171167;1;0;1;1;1;0;0
CON CON;-8.008325;-78.73847167;1;0;1;1;1;0;0
CALIFORNIA;-8.008951667;-78.72977167;1;0;1;1;1;0;0
CAMBARRA;-8.00897;-78.72972;1;0;1;1;1;0;0
CUSHMUN;-7.99831;-78.6931;1;0;1;1;1;0;0
MI�ATE;-8.01631;-78.72507;1;0;1;1;1;0;0
MISHIRIHUANGA;-8.01071;-78.73832;1;0;1;1;1;0;0
LOMAS DEL PANTEON;-8.01296;-78.7543;1;0;1;1;1;0;0
CASA BLANCA;-8.008578333;-78.772345;1;0;1;1;1;0;0
FLOR DE MAYO;-8.02945;-78.81776;1;0;1;1;1;0;0
EL BADO;-8.01529;-78.79399667;1;0;1;1;1;0;0
SALAVERRY;-8.217877971;-78.97715958;1;1;1;1;1;1;1
CHOROBAL;-8.19367;-78.99108;1;1;1;1;1;0;0
